side,ticker,pattern,fwd_days,n,mean_ret,median,win_rate
sell,AAPL,E_FVG1_Fx,60,0,,,
sell,AAPL,FVG1_R,60,0,,,
buy,ABBV,baseline,20,29,5.563836547046536,5.854875629338717,75.86206896551724
buy,ABBV,E,20,2,5.534232207520389,5.534232207520389,100.0
buy,ABBV,E_R,20,0,,,
buy,ABBV,FVG1,20,3,6.895422071016202,6.1430700885356275,100.0
buy,ABBV,E_FVG1,20,0,,,
buy,ABBV,E_FVG5,20,0,,,
buy,ABBV,E_Fext,20,0,,,
buy,ABBV,E_OB,20,0,,,
buy,ABBV,E_R_FVG1,20,0,,,
buy,ABBV,E_R_FVG5,20,0,,,
buy,ABBV,E_Q_FVG1,20,0,,,
buy,ABBV,E_FVG1_Fx,20,0,,,
buy,ABBV,FVG1_R,20,1,13.576477980535023,13.576477980535023,100.0
sell,ABBV,baseline,20,32,3.8747576451904493,3.181547745507615,75.0
sell,ABBV,E,20,7,7.048759028733483,11.526266369946681,71.42857142857143
sell,ABBV,E_R,20,3,11.460057477221008,12.98409236389878,100.0
sell,ABBV,FVG1,20,1,12.98409236389878,12.98409236389878,100.0
sell,ABBV,E_FVG1,20,1,12.98409236389878,12.98409236389878,100.0
sell,ABBV,E_FVG5,20,1,12.98409236389878,12.98409236389878,100.0
sell,ABBV,E_Fext,20,0,,,
sell,ABBV,E_OB,20,4,6.226586516675111,9.675246522335467,75.0
sell,ABBV,E_R_FVG1,20,1,12.98409236389878,12.98409236389878,100.0
sell,ABBV,E_R_FVG5,20,1,12.98409236389878,12.98409236389878,100.0
sell,ABBV,E_Q_FVG1,20,0,,,
sell,ABBV,E_FVG1_Fx,20,0,,,
sell,ABBV,FVG1_R,20,1,12.98409236389878,12.98409236389878,100.0
buy,ABBV,baseline,30,29,7.790304969364282,7.703479396562904,82.75862068965517
buy,ABBV,E,30,2,8.699693406415456,8.699693406415456,100.0
buy,ABBV,E_R,30,0,,,
buy,ABBV,FVG1,30,3,8.362624015551921,7.373363423464872,100.0
buy,ABBV,E_FVG1,30,0,,,
buy,ABBV,E_FVG5,30,0,,,
buy,ABBV,E_Fext,30,0,,,
buy,ABBV,E_OB,30,0,,,
buy,ABBV,E_R_FVG1,30,0,,,
buy,ABBV,E_R_FVG5,30,0,,,
buy,ABBV,E_Q_FVG1,30,0,,,
